Sample in Buffer,Sample in Window,TRIGGER,app_cmd[2:0],app_wdf_data[255:0],app_addr[28:0],app_rd_data[255:0],app_rd_data_reg[255:0],app_en,app_rd_data_end,app_rd_data_valid,app_rdy,app_wdf_end,app_wdf_rdy,app_wdf_wren,ui_clk
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
54,54,0,1,0000000000000000000000000000000000000000000000000000000000000000,00001680,0073007300730073007300730073007300730073007300730073007300730073,0096009600960096009600960096009600960096009600960096009600960096,1,1,0,1,0,1,0,1
55,55,0,1,0000000000000000000000000000000000000000000000000000000000000000,000016a0,0073007300730073007300730073007300730073007300730073007300730073,0096009600960096009600960096009600960096009600960096009600960096,1,1,0,1,0,1,0,1
56,56,0,1,0000000000000000000000000000000000000000000000000000000000000000,000016c0,0073007300730073007300730073007300730073007300730073007300730073,0096009600960096009600960096009600960096009600960096009600960096,1,1,0,1,0,1,0,1
57,57,0,1,0000000000000000000000000000000000000000000000000000000000000000,000016e0,0097009700970097009700970097009700970097009700970097009700970097,0096009600960096009600960096009600960096009600960096009600960096,1,1,1,1,0,1,0,1
58,58,0,1,0000000000000000000000000000000000000000000000000000000000000000,00001700,0098009800980098009800980098009800980098009800980098009800980098,0097009700970097009700970097009700970097009700970097009700970097,1,1,1,1,0,1,0,1
59,59,0,1,0000000000000000000000000000000000000000000000000000000000000000,00001720,0099009900990099009900990099009900990099009900990099009900990099,0098009800980098009800980098009800980098009800980098009800980098,1,1,1,1,0,1,0,1
60,60,0,1,0000000000000000000000000000000000000000000000000000000000000000,00001740,0079007900790079007900790079007900790079007900790079007900790079,0099009900990099009900990099009900990099009900990099009900990099,1,1,0,1,0,1,0,1
61,61,0,1,0000000000000000000000000000000000000000000000000000000000000000,00001760,009a009a009a009a009a009a009a009a009a009a009a009a009a009a009a009a,0099009900990099009900990099009900990099009900990099009900990099,1,1,1,1,0,1,0,1
62,62,0,1,0000000000000000000000000000000000000000000000000000000000000000,00001780,009b009b009b009b009b009b009b009b009b009b009b009b009b009b009b009b,009a009a009a009a009a009a009a009a009a009a009a009a009a009a009a009a,1,1,1,1,0,1,0,1
63,63,0,1,0000000000000000000000000000000000000000000000000000000000000000,000017a0,009c009c009c009c009c009c009c009c009c009c009c009c009c009c009c009c,009b009b009b009b009b009b009b009b009b009b009b009b009b009b009b009b,1,1,1,1,0,1,0,1
64,64,0,1,0000000000000000000000000000000000000000000000000000000000000000,000017c0,009d009d009d009d009d009d009d009d009d009d009d009d009d009d009d009d,009c009c009c009c009c009c009c009c009c009c009c009c009c009c009c009c,1,1,1,1,0,1,0,1
65,65,0,1,0000000000000000000000000000000000000000000000000000000000000000,000017e0,009e009e009e009e009e009e009e009e009e009e009e009e009e009e009e009e,009d009d009d009d009d009d009d009d009d009d009d009d009d009d009d009d,1,1,1,1,0,1,0,1
66,66,0,1,0000000000000000000000000000000000000000000000000000000000000000,00001800,009f009f009f009f009f009f009f009f009f009f009f009f009f009f009f009f,009e009e009e009e009e009e009e009e009e009e009e009e009e009e009e009e,1,1,1,1,0,1,0,1
67,67,0,1,0000000000000000000000000000000000000000000000000000000000000000,00001820,00a000a000a000a000a000a000a000a000a000a000a000a000a000a000a000a0,009f009f009f009f009f009f009f009f009f009f009f009f009f009f009f009f,1,1,1,1,0,1,0,1
